id,name,type,length_km,voltage,installed,capacity_mw,status,from_trf_id,from_sub_id,to_trf_id,to_sub_id
LINE-68C21153,Line_1,Cable,9.22,10kV,19-04-02,176,Active,TRF-A047379E,,TRF-6A197A1E,
LINE-2B0BB55E,Line_2,Underground,36.17,20kV,30-12-01,139,Under_Repair,TRF-21D28AC0,,TRF-EAD6840A,
LINE-04BFB2E6,Line_3,Underground,12.3,20kV,20-06-08,2,Active,TRF-AE59B8CE,,TRF-D4181B4A,
LINE-C6FDA055,Line_4,Cable,41.38,10kV,05-08-13,83,Active,TRF-1330C430,,TRF-A6A4D223,
LINE-A2AAC920,Line_5,Cable,33.09,110kV,26-03-14,165,Active,TRF-8F74F7DF,,TRF-045D0C4D,
LINE-1E9A3C72,Line_6,Cable,47.6,20kV,28-03-18,124,Active,TRF-64515FFB,,TRF-FC1E0D0D,
LINE-23C036EC,Line_7,Cable,39,10kV,05-08-11,73,Active,TRF-67473465,,TRF-682AF986,
LINE-62C08277,Line_8,Underground,33.94,10kV,13-09-20,175,Under_Repair,TRF-5F2FDD69,,TRF-AB696DB6,
LINE-DBCE1515,Line_9,Overhead,35.99,10kV,25-02-21,188,Active,TRF-A09858AB,,,SUB-DB0F9F12
LINE-3D001BE0,Line_10,Cable,10.66,10kV,12-02-04,116,Active,TRF-0EDB3EDE,,TRF-35781BB5,
LINE-DFE5238E,Line_11,Overhead,11.79,20kV,19-01-16,163,Active,TRF-97CD4529,,TRF-1A6D2F76,
LINE-58E6509C,Line_12,Underground,15.48,10kV,10-09-19,36,Active,TRF-889045B4,,TRF-1A519A7B,
LINE-7F2658F7,Line_13,Cable,47.8,20kV,02-11-02,124,Active,TRF-85EE3D93,,TRF-4B4D7298,
LINE-A5F861AB,Line_14,Overhead,45.87,10kV,20-12-08,110,Active,TRF-53B774E8,,TRF-2E4EB046,
LINE-02C7D58B,Line_15,Underground,47.63,10kV,07-02-17,135,Active,TRF-2B241732,,TRF-C45FE69B,
LINE-038441CC,Line_16,Overhead,38.85,10kV,09-11-13,66,Active,TRF-67473465,,TRF-76CB9603,
LINE-47E25D1B,Line_17,Underground,1.23,10kV,27-06-16,109,Under_Repair,TRF-9FD90B7C,,,SUB-5F509FF6
LINE-B23F1628,Line_18,Overhead,39,20kV,25-11-10,155,Under_Repair,TRF-061D245B,,TRF-C7EC78F6,
LINE-02E9FA66,Line_19,Underground,14.72,20kV,04-02-07,147,Active,TRF-41A4C26C,,TRF-3C7E72AC,
LINE-EC7A4615,Line_20,Cable,35.77,110kV,29-05-13,190,Active,TRF-8407DC19,,TRF-B2586600,
LINE-5923B0E9,Line_21,Cable,19.7,10kV,31-12-11,16,Active,TRF-29127733,,TRF-46E46E5D,
LINE-477C9D65,Line_22,Cable,8.76,20kV,25-08-07,65,Active,TRF-B7500BE7,,TRF-5598A61C,
LINE-A2814F1A,Line_23,Underground,28.24,10kV,05-06-15,182,Under_Repair,TRF-8BF03934,,TRF-254482B2,
LINE-69ECAFEC,Line_24,Cable,48.09,110kV,05-03-02,141,Active,TRF-003228DA,,TRF-424298DC,
